URL,meta_description,sexual content,violence,drugs,alcohol,gambling,hate speech,offensive content,illegal content,unmoderated user content,Appropriate for children
https://www.kiddle.co,"Kiddle is a safe search engine, offering a safe web, image, and video search. Results are vetted by editors.",False,True,True,True,True,True,False,False,True,True
https://www.kidzsearch.com,KidzSearch - Family-friendly safe search engine for kids. We are the leading search engine used by schools around the world since 2005. Results are always Strict Filtered. Nothing to install. Free public service.,False,False,True,False,True,True,False,False,True,True
https://www.alarms.org/kidrex,"Official Site. Fun and Safe Search for Kids, by Kids. Google Custom Search.",True,True,True,True,True,True,False,True,True,True
https://www.sweetsearch.com,"A search engine for students that emphasizes high quality resources evaluated and approved by educators, librarians and research experts.",False,False,True,True,True,False,False,False,True,True
https://www.factmonster.com,"Fact Monster is a free reference site for students, teachers, and parents. Get homework help and find facts on thousands of subjects, including sports, entertainment, geography, history, biography, education, and health.",True,True,True,True,True,True,False,False,True,True
https://www.pbskids.org,"Educational games and videos from Curious George, Wild Kratts and other PBS KIDS shows!",False,False,False,False,False,False,False,False,True,True
https://www.starfall.com,"At Starfall, children have fun while they learn - specializing in reading, phonics & math - educational games, movies, books, songs, and more for children K-5 and above.",False,False,True,False,False,False,False,False,True,True
https://www.youtube.com/kids/,YouTube Kids provides a more contained environment for kids to explore YouTube and makes it easier for parents and caregivers to guide their journey.,False,False,True,False,False,False,False,False,True,True
https://www.khanacademy.org,"Learn for free about math, art, computer programming, economics, physics, chemistry, biology, medicine, finance, history, and more. Khan Academy is a nonprofit with the mission of providing a free, world-class education for anyone, anywhere.",False,False,True,True,True,False,False,False,True,True
https://www.youtube.com/channel/UChGJGhZ9SOOHvBB0Y4DOO_w,"Welcome To Ryan's World!!! Ryan loves doing lots of fun things like pretend play, science experiments, music videos, skits, challenges, DIY arts and crafts a...",False,False,False,False,True,False,False,False,True,True
https://games.lol,All free online games that are available to download suit for any type of gamer. We got the family-friendliest games suited for kids to more action-packed titles for the mature players.,False,False,False,False,False,False,False,False,True,True
https://www.roblox.com,Roblox is an immersive platform for communication and connection. Join millions of people and discover an infinite variety of immersive experiences created by a global community.,True,False,True,True,True,False,False,True,True,True
https://scratch.mit.edu,"Scratch is a free programming language and online community where you can create your own interactive stories, games, and animations.",True,False,True,True,True,True,False,False,True,True
https://genius.com,Genius is the world’s biggest collection of song lyrics and musical knowledge.,True,True,True,True,True,True,False,True,True,False
https://www.bleacherreport.com,"Fan easier, fan faster and fan better with Bleacher Report. Keep up with the latest storylines, expert analysis, highlights and scores for all your favorite sports.",True,True,True,True,True,False,True,True,True,False
https://www.vice.com,The definitive guide to enlightening information.,True,True,True,True,True,True,True,True,True,False
https://www.cracked.com,"A funny website filled with funny videos, pics, articles, and a whole bunch of other funny stuff. Cracked.com, celebrating 50 years of humor.",True,True,True,True,True,True,True,True,True,False
https://www.buzzfeed.com,"BuzzFeed has breaking news, vital journalism, quizzes, videos, celeb news, Tasty food videos, recipes, DIY hacks, and all the trending buzz you’ll want to share with your friends. Copyright BuzzFeed, Inc. All rights reserved.",True,True,True,True,True,False,False,True,True,False
https://www.yelp.com,"User Reviews and Recommendations of Best Restaurants, Shopping, Nightlife, Food, Entertainment, Things to Do, Services and More at Yelp",True,False,True,True,True,False,False,True,True,False
https://www.gamespot.com,"GameSpot delivers the best and most comprehensive video game and entertainment coverage, including news, reviews, trailers, walkthroughs, and guides for PS4, Xbox One, Nintendo Switch, PC, and Google Stadia.",True,True,False,True,True,False,False,True,True,False
https://www.rollingstone.com,Get the latest Rolling Stone news with exclusive stories and pictures from Rolling Stone.,True,True,True,True,True,True,True,True,True,False
https://www.epicurious.com,"Since 1995, Epicurious has been the ultimate food resource for the home cook, with daily kitchen tips, fun cooking videos, and, oh yeah, over 33,000 recipes.",True,False,True,True,True,False,True,True,True,True
https://www.deviantart.com,DeviantArt is where art and community thrive. Explore over 350 million pieces of art while connecting to fellow artists and art enthusiasts.,True,False,True,True,True,False,False,False,True,False
https://www.fandom.com,"The entertainment site where fans come first. Your daily source for all things TV, movies, and games, including Star Wars, Fallout, Marvel, DC and more.",True,True,True,True,True,True,True,True,True,False
https://www.pitchfork.com,The Most Trusted Voice in Music.,False,True,True,True,True,False,False,False,True,False
https://www.complex.com,"Making Culture Pop. Find the latest entertainment news and the best in music, pop culture, sneakers, style and original shows.",True,True,True,True,True,False,True,True,True,False
https://www.rottentomatoes.com,"Rotten Tomatoes, home of the Tomatometer, is the most trusted measurement of quality for Movies & TV. The definitive site for Reviews, Trailers, Showtimes, and Tickets",True,True,True,True,True,True,False,False,True,False
https://www.techcrunch.com,"TechCrunch | Reporting on the business of technology, startups, venture capital funding, and Silicon Valley",True,True,True,True,True,False,False,True,True,False
https://www.wired.com,"We bring you the future as it happens. From the latest in science and technology to the big stories in business and culture, we've got you covered.",True,True,True,True,True,True,False,False,True,False
https://www.theverge.com,"The Verge is about technology and how it makes us feel. Founded in 2011, we offer our audience everything from breaking news to reviews to award-winning features and investigations, on our site, in video, and in podcasts.",True,True,True,True,True,True,False,False,True,False
